number,name,status
1,PEP Purpose and Guidelines,Active
248,Python Database API Specification v1.0,Final
676,PEP Infrastructure Process,Active
609,Python Packaging Authority (PyPA) Governance,Active
101,Doing Python Releases 101,Active
20,The Zen of Python,Active
13,Python Language Governance,Active
247,API for Cryptographic Hash Functions,Final
249,Python Database API Specification v2.0,Final
257,Docstring Conventions,Active
387,Backwards Compatibility Policy,Active
581,Using GitHub Issues for CPython,Accepted
11,CPython platform support,Active
12,Sample reStructuredText PEP Template,Active
10,Voting Guidelines,Active
8,Style Guide for Python Code,Active
532,A circuit breaking protocol and binary operators,Deferred
533,Deterministic cleanup for iterators,Deferred
541,Package Index Name Retention,Final
505,None-aware operators,Deferred
365,Adding the pkg_resources module,Rejected
377,Allow __enter__() methods to skip the statement body,Rejected
490,Chain exceptions at C level,Rejected
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
367,New Super,Superseded
364,Transitioning to the Py3K Standard Library,Withdrawn
369,Post import hooks,Withdrawn
474,Creating forge.python.org,Withdrawn
3140,"str(container) should call str(item), not repr(item)",Rejected
8015,Organization of the Python community,Rejected
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
3153,Asynchronous IO support,Superseded
8010,The Technical Leader Governance Model,Rejected
8012,The Community Governance Model,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3142,Add a “while” clause to generator expressions,Rejected
3130,Access to Current Module/Class/Function,Rejected
3133,Introducing Roles,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3152,Cofunctions,Rejected
3136,Labeled break and continue,Rejected
3146,Merging Unladen Swallow into CPython,Withdrawn
3125,Remove Backslash Continuation,Rejected
3126,Remove Implicit String Concatenation,Rejected
3128,BList: A Faster List-like Type,Rejected
3122,Delineation of the main module,Rejected
754,IEEE 754 Floating Point Special Values,Rejected
3103,A Switch/Case Statement,Rejected
3117,Postfix type declarations,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
690,Lazy Imports,Rejected
666,Reject Foolish Indentation,Rejected
677,Callable Type Syntax,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
651,Robust Stack Overflow Handling,Rejected
662,Editable installs via virtual wheels,Rejected
650,Specifying Installer Requirements for Python Projects,Withdrawn
665,A file format to list Python dependencies for reproducibility of an application,Rejected
648,Extensible customizations of the interpreter at startup,Rejected
645,Allow writing optional types as ,Withdrawn
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
637,Support for indexing with keyword arguments,Rejected
640,Unused variable syntax,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
622,Structural Pattern Matching,Superseded
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
620,Hide implementation details from the C API,Withdrawn
611,The one million limit,Withdrawn
606,Python Compatibility Version,Rejected
608,Coordinated Python release,Rejected
605,A rolling feature release stream for CPython,Rejected
601,Forbid return/break/continue breaking out of finally,Rejected
599,The manylinux2014 Platform Tag,Superseded
598,Introducing incremental feature releases,Withdrawn
595,Improving bugs.python.org,Withdrawn
583,A Concurrency Memory Model for Python,Withdrawn
580,The C call protocol,Rejected
577,Augmented Assignment Expressions,Withdrawn
576,Rationalize Built-in function classes,Withdrawn
575,Unifying function/method classes,Withdrawn
559,Built-in noop(),Rejected
571,The manylinux2010 Platform Tag,Superseded
549,Instance Descriptors,Rejected
555,Context-local variables (contextvars),Withdrawn
551,Security transparency in the Python runtime,Withdrawn
550,Execution Context,Withdrawn
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
548,More Flexible Loop Control,Rejected
542,Dot Notation Assignment In Function Header,Rejected
543,A Unified TLS API for Python,Withdrawn
522,Allow BlockingIOError in security sensitive APIs,Rejected
531,Existence checking operators,Withdrawn
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
507,Migrate CPython to Git and GitLab,Rejected
510,Specialize functions with guards,Rejected
511,API for code transformers,Rejected
516,Build system abstraction for pip/conda etc,Rejected
513,A Platform Tag for Portable Linux Built Distributions,Superseded
473,Adding structured data to built-in exceptions,Rejected
502,String Interpolation - Extended Discussion,Rejected
472,Support for indexing with keyword arguments,Rejected
504,Using the System RNG by default,Withdrawn
496,Environment Markers,Rejected
497,A standard mechanism for backward compatibility,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
469,Migration of dict iteration code to Python 3,Withdrawn
460,Add binary interpolation and formatting,Withdrawn
463,Exception-catching expressions,Rejected
462,Core development workflow automation for CPython,Withdrawn
455,Adding a key-transforming dictionary to collections,Rejected
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
433,Easier suppression of file descriptor inheritance,Superseded
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
432,Restructuring the CPython startup sequence,Withdrawn
431,Time zone support improvements,Superseded
410,Use decimal.Decimal type for timestamps,Rejected
426,Metadata for Python Software Packages 2.0,Withdrawn
422,Simpler customisation of class creation,Withdrawn
416,Add a frozendict builtin type,Rejected
413,Faster evolution of the Python Standard Library,Withdrawn
411,Provisional packages in the Python standard library,Superseded
408,Standard library __preview__ package,Rejected
402,Simplified Package Layout and Partitioning,Rejected
406,Improved Encapsulation of Import State,Withdrawn
396,Module Version Numbers,Rejected
401,BDFL Retirement,April Fool!
386,Changing the version comparison module in Distutils,Superseded
390,Static metadata for Distutils,Rejected
395,Qualified Names for Modules,Withdrawn
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
354,Enumerations in Python,Superseded
363,Syntax For Dynamic Attribute Access,Rejected
359,The “make” Statement,Withdrawn
355,Path - Object oriented filesystem paths,Rejected
382,Namespace Packages,Rejected
351,The freeze protocol,Rejected
349,Allow str() to return unicode strings,Rejected
350,Codetags,Rejected
348,Exception Reorganization for Python 3.0,Rejected
346,User Defined (”,Withdrawn
345,Metadata for Python Software Packages 1.2,Superseded
344,Exception Chaining and Embedded Tracebacks,Superseded
340,Anonymous Block Statements,Rejected
339,Design of the CPython Compiler,Withdrawn
335,Overloadable Boolean Operators,Rejected
336,Make None Callable,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
332,Byte vectors and String/Unicode Unification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
330,Python Bytecode Verification,Rejected
325,Resource-Release Support for Generators,Rejected
326,A Case for Top and Bottom Values,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
314,Metadata for Python Software Packages 1.1,Superseded
315,Enhanced While Loop,Rejected
306,How to Change Python’s Grammar,Withdrawn
304,Controlling Generation of Bytecode Files,Withdrawn
310,Reliable Acquisition/Release Pairs,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
299,Special __main__() function in modules,Rejected
303,Extend divmod() for Multiple Divisors,Rejected
298,The Locked Buffer Interface,Withdrawn
296,Adding a bytes Object Type,Withdrawn
295,Interpretation of multiline string constants,Rejected
297,Support for System Upgrades,Rejected
284,Integer for-loops,Rejected
288,Generators Attributes and Exceptions,Withdrawn
281,Loop Counter Iteration with range and xrange,Rejected
294,Type Names in the types Module,Rejected
275,Switching on Multiple Values,Rejected
276,Simple Iterator for ints,Rejected
271,Prefixing sys.path by command line option,Rejected
270,uniq method for list objects,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
265,Sorting Dictionaries by Value,Rejected
262,A Database of Installed Python Packages,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
259,Omit printing newline after newline,Rejected
256,Docstring Processing System Framework,Rejected
258,Docutils Design Specification,Rejected
246,Object Adaptation,Rejected
245,Python Interface Syntax,Rejected
254,Making Classes Look More Like Types,Rejected
243,Module Repository Upload Mechanism,Withdrawn
244,The ,Rejected
241,Metadata for Python Software Packages,Superseded
242,Numeric Kinds,Rejected
240,Adding a Rational Literal to Python,Rejected
228,Reworking Python’s Numeric Model,Withdrawn
239,Adding a Rational Type to Python,Rejected
220,"Coroutines, Generators, Continuations",Rejected
225,Elementwise/Objectwise Operators,Rejected
224,Attribute Docstrings,Rejected
231,__findattr__(),Rejected
216,Docstring Format,Rejected
215,String Interpolation,Superseded
209,Multi-dimensional Arrays,Withdrawn
210,Decoupling the Interpreter Loop,Rejected
211,Adding A New Outer Product Operator,Rejected
212,Loop Counter Iteration,Rejected
206,Python Advanced Library,Withdrawn
204,Range Literals,Rejected
103,Collecting information about git,Withdrawn
102,Doing Python Micro Releases,Superseded
3,Guidelines for Handling Bug Reports,Withdrawn
9,Sample Plaintext PEP Template,Withdrawn
3150,Statement local namespaces (aka “given” clause),Deferred
3143,Standard daemon process library,Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
674,Disallow using macros as l-values,Deferred
42,Feature Requests,Withdrawn
556,Threaded garbage collection,Deferred
568,Generator-sensitivity for Context Variables,Deferred
535,Rich comparison chaining,Deferred
547,Running extension modules using the -m option,Deferred
536,Final Grammar for Literal String Interpolation,Deferred
534,Improved Errors for Missing Standard Library Modules,Deferred
501,General purpose string interpolation,Deferred
499,,Deferred
447,Add __getdescriptor__ method to metaclass,Deferred
491,The Wheel Binary Package Format 1.9,Deferred
423,Naming conventions and recipes related to packaging,Deferred
444,Python Web3 Interface,Deferred
419,Protecting cleanup statements from interruptions,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
407,New release cycle and introducing long-term support versions,Deferred
368,Standard image protocol and class,Deferred
337,Logging Usage in the Standard Library,Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
312,Simple Implicit Lambda,Deferred
316,Programming by Contract for Python,Deferred
323,Copyable Iterators,Deferred
286,Enhanced Argument Tuples,Deferred
280,Optimizing access to globals,Deferred
267,Optimized Access to Module Namespaces,Deferred
269,Pgen Module for Python,Deferred
219,Stackless Python,Deferred
233,Python Online Help,Deferred
222,Web Library Enhancements,Deferred
213,Attribute Access Handlers,Deferred
8001,Python Governance Voting Process,Final
3003,Python Language Moratorium,Final
3099,Things that will Not Change in Python 3000,Final
3100,Miscellaneous Python 3.0 Plans,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3000,Python 3000,Final
494,Python 3.6 Release Schedule,Final
512,Migrating from hg.python.org to GitHub,Final
